program_name,career_pathway,program_options,degree_or_certificate,department,image
"Geology","Health, Science & Technology","Degree; Transfer","AS-T","Geology","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-geology.jpg?1577830849"
"Global Studies","Society & Education","Degree; Transfer","AA-T","Global Studies","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/globalstudies_tile.jpg?1637711380"
"Global Trade & Logistics","Business, Management & Entrepreneurship","Degree; Certificate","AA; C-ACH","Business","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-international_business.jpg?1577830849"
"History","Society & Education","Degree; Transfer","AA-T","History","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-history.jpg?1577830849"
"Homeland Security","Society & Education","Certificate; Noncredit","C-ACMP; C-COMP","Administration Justice","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/homeland_security_tile.jpg?1681760035"
"Horticulture","Health, Science & Technology","Degree; Certificate","AS; C-ACH","Horticulture","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-horticulture.jpg?1577830849"
"Hospitality Management","Business, Management & Entrepreneurship","Degree; Transfer","AS-T","Hospitality Management","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/hospitality_management_tile.jpg?1682029234"
"Human Services Addiction Studies","Society & Education","Degree; Transfer; Certificate; Noncredit","AA; AA-T; C-ACH; C-COMP","Social Work","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/alcdrugstudies.jpeg?1630102526"
"Jewelry & Metalsmithing","Business, Management & Entrepreneurship","Certificate","C-ACH","Art","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/jewelry__metalsmithing_program_tile.jpg?1673037336"
"Journalism","Arts, Language & Communication","Degree; Transfer; Certificate","AA; AA-T; C-ACH","Journalism","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-journalism.jpg?1577830849"
"Kinesiology","Health, Science & Technology","Degree; Transfer; Certificate","AA; AA-T; C-ACH; C-ACMP","Kinesiology","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-kinesiology.jpg?1577830849"
"Library Technician","Society & Education","Degree; Certificate; Noncredit","AS; C-ACH; C-ACMP; C-COMP; C-COMPETENCY","Library Technician","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-library_technician.jpg?1577830849"
"Linguistics","Arts, Language & Communication","Degree","AA","Linguistics","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-linguistics.jpg?1577830849"
"Management","Business, Management & Entrepreneurship","Degree; Certificate","AA; C-ACH","Business","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-management.jpg?1577830849"
"Marketing","Business, Management & Entrepreneurship","Degree; Certificate","AA; C-ACH","Business","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-marketing.jpg?1577830849"
"Mathematics","Health, Science & Technology","Degree; Transfer; Certificate; Noncredit","AS; AS-T; C-COMPETENCY","Mathematics","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-mathematics.jpg?1577830849"
"Medical Assisting","Health, Science & Technology","Degree; Certificate","AS; C-ACH; C-ACMP","Medical Assisting Program","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-medical_assisting.jpg?1577830849"
"Metal Fabrication Technology","Trades & Service Industry","Degree; Certificate; Noncredit","AS; C-ACH; C-COMP","Metal Fabrication Technology","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-metal_fabrication.jpg?1577830849"
"Music","Arts, Language & Communication","Degree; Transfer; Certificate","AA; AA-T; C-ACH","Music","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-music.jpg?1577830849"
"Nursing: LVN to RN","Health, Science & Technology","Degree; Certificate","AS; C-ACH","Nursing Lvn Rn Career Ladder Program","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/image_37690603441476471298709.png?1577830849"
"Nursing: Registered Nursing (RN)","Health, Science & Technology","Degree","AS","Registered Nursing","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/nursing.jpeg?1577830849"
"Nursing: Vocational","Health, Science & Technology","Degree; Certificate","AS; C-ACH; C-ACMP","Nursing Vocational Practical","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/vngrads16_11.jpg?1577830849"
"Nutrition & Dietetics","Health, Science & Technology","Degree; Transfer; Certificate; Noncredit","AA; AS; AS-T; C-ACH; C-COMP","Nutrition Dietetics","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-dietetics.jpg?1577830849"
"Philosophy","Society & Education","Degree; Transfer","AA-T","Philosophy","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-philosophy.jpg?1577830849"
"Photography","Arts, Language & Communication","Degree; Certificate","AA; C-ACH","Digital Media Arts","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/photography_program_tile.jpg?1673467588"
"Physical Sciences","Health, Science & Technology","Degree; Transfer; Certificate","AS; AS-T; AS-T (UC Transfer); C-ACH","Physical Sciences","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-physical_science.jpg?1577830849"
"Physics","Health, Science & Technology","Degree; Transfer","AS-T; AS-T (UC Transfer)","Physical Sciences","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/physics_tile.jpg?1645140097"
"Political Science","Society & Education","Degree; Transfer","AA-T","Political Science","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-political_science.jpg?1577830849"
"Psychology","Society & Education","Degree; Transfer","AA-T","Psychology","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-psychology.jpg?1577830849"
"Public Health","Health, Science & Technology; Society & Education","Degree; Transfer; Certificate","AS-T; C-ACH","Public Health Ast; Public Health Science","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/public-health-tile.jpg?1577830849"
"Reading","Society & Education","Certificate; Noncredit","C-COMP; C-COMPETENCY","Reading","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/reading_square_tile.jpg?1630079557"
"Real Estate","Business, Management & Entrepreneurship","Certificate","C-ACMP","Business","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-real_estate.jpg?1577830849"
"Social Justice Studies","Society & Education","Degree; Transfer","AA-T","Social Justice Studies","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/social_justice_tile.jpg?1650918460"
"Social Work","Society & Education","Degree; Transfer; Certificate; Noncredit","AA; AA-T; C-ACH; C-COMP","Social Work","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/human_services.jpeg?1577830849"
"Sociology","Society & Education","Degree; Transfer; Certificate","AA-T; C-ACH","Sociology","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-sociology.jpg?1577830849"
"Spatial Design","Arts, Language & Communication; Trades & Service Industry","Degree; Certificate; Noncredit","AS; C-ACH; C-COMP","Architectural Design; Industrial Design; Interior Design","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-architectural_design.jpg?1577830849"
"TEAS Preparation","Health, Science & Technology","Certificate; Noncredit","C-COMPETENCY","Teas Preparation","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/teas_tile.jpg?1646096878"
"Television & Emerging Media","Arts, Language & Communication","Degree; Transfer; Certificate","AA; AS-T; C-ACH","Film Production; Film Television Electronic Media; Television Broadcast News; Television Performance; Television Producer; Television Sports Broadcasting","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-radiotv_0.jpg?1577830849"
"Theater Arts, General & Acting Academy","Arts, Language & Communication","Degree; Transfer; Certificate","AA; AA-T; C-ACH","Theatre Arts","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-theater_arts.jpg?1577830849"
"Web Development","Business, Management & Entrepreneurship","Degree; Certificate","AS; C-ACH","Web Development","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-web_development.jpg?1577830849"
"Welding Technology","Trades & Service Industry","Degree; Certificate; Noncredit","AS; C-ACH; C-COMP","Welding Technology","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-welding_technology.jpg?1577830849"
"World Languages","Arts, Language & Communication; Health, Science & Technology","Degree; Transfer; Certificate","AA; AA-T; C-ACH; C-ACMP","World Languages","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-foreign_language.jpg?1577830849"
